run,id,eval_mean,eval_std,last100,q_final,td_final,q_max,td_max
target-1-s1,72f7ox7e,500.0,0.0,427.85,99.4702377319336,0.03572246432304382,1471.86083984375,33527.5625
target-1-s2,kmjxhw6y,500.0,0.0,489.66,101.61726379394531,0.004343087784945965,1128.5687255859375,18055.328125
baseline-s1,tgh6drnn,500,0,500,101.2267837524414,0.004095907788723707,227.27972412109375,613.3172607421875
baseline-s2,x9oofvwr,500.0,0.0,482.09,100.40306854248047,0.0417947918176651,236.74935913085938,804.7647705078125
target-10000-s1,5mejj345,229.0,41.57162493817147,184.38,36.61920166015625,0.006678664591163397,38.12588882446289,6.342065334320068
target-10000-s2,8ivfad3e,287.1,54.689029978598086,189.1,37.38454055786133,0.04797716811299324,39.41920852661133,8.662067413330078
buffer-128-s1,85kbwytd,500.0,0.0,500.0,115.34552764892578,0.0763661190867424,229.07464599609375,956.47412109375
buffer-128-s2,1vb06vsh,270.5,5.5,257.93,61.023704528808594,0.1187494769692421,256.0914306640625,1718.0699462890625
buffer-100000-s1,v4zrpizp,500.0,0.0,471.28,86.20201110839844,0.016157018020749092,419.72149658203125,2658.27001953125
buffer-100000-s2,h9qsors5,500.0,0.0,437.35,106.85704040527344,0.0409649983048439,408.2454833984375,2543.692138671875
lr-small-s1,ag28lojg,182.4,11.99333148045196,231.68,71.51904296875,0.38008296489715576,84.7638168334961,301.95306396484375
lr-small-s2,soautcy3,158.6,13.009227494359532,153.26,53.550113677978516,0.20036371052265167,72.99810028076172,154.94155883789062
lr-large-s1,k2djyn33,500.0,0.0,384.7,176.32542419433594,0.9717175364494324,377.28436279296875,3740.274169921875
lr-large-s2,dxd8na8m,125.5,4.4777226354476225,270.65,172.51820373535156,45.24003219604492,563.7952880859375,5566.8525390625
